date,hour,open,high,low,close,real_volume,tick_volume
2017.01.02,17:00:00,60575,60595,60350,60375,13293,4110
2017.01.02,17:30:00,60375,60480,60315,60380,14003,3764
2017.01.02,18:00:00,60385,60410,60280,60280,5848,1219
2017.01.03,09:00:00,60800,60985,60750,60895,41467,14344
2017.01.03,09:30:00,60900,60975,60815,60930,32410,10384
2017.01.03,10:00:00,60935,61160,60915,61155,38157,12894
2017.01.03,10:30:00,61150,61445,61150,61440,44492,15660
2017.01.03,11:00:00,61435,61810,61405,61725,63306,21420
2017.01.03,11:30:00,61720,62025,61660,61985,63799,20503
2017.01.03,12:00:00,61985,62070,61840,61950,54008,17429
2017.01.03,12:30:00,61960,62430,61955,62330,96017,29907
2017.01.03,13:00:00,62330,62645,62325,62580,67567,20968
2017.01.03,13:30:00,62585,62715,62425,62430,61425,19593
2017.01.03,14:00:00,62430,62510,62275,62345,77312,24541
2017.01.03,14:30:00,62345,62470,62055,62215,71130,22985
2017.01.03,15:00:00,62215,62270,61955,62110,54953,18302
2017.01.03,15:30:00,62110,62375,62055,62355,51432,16666
2017.01.03,16:00:00,62355,62470,62220,62445,46712,14701
2017.01.03,16:30:00,62445,62470,62235,62270,36869,12065
2017.01.03,17:00:00,62275,62425,62185,62320,37705,11894
2017.01.03,17:30:00,62315,62750,62315,62735,38958,11812
2017.01.03,18:00:00,62735,62800,62705,62705,12917,2068
2017.01.04,09:00:00,62590,62890,62500,62820,57842,19969
2017.01.04,09:30:00,62825,62830,62365,62395,48069,16567
2017.01.04,10:00:00,62395,62650,62290,62580,47513,16878
2017.01.04,10:30:00,62580,62760,62395,62480,50095,18261
2017.01.04,11:00:00,62480,62690,62400,62585,35636,12999
2017.01.04,11:30:00,62585,62820,62560,62800,53464,18515
2017.01.04,12:00:00,62800,62820,62270,62385,72930,24986
2017.01.04,12:30:00,62385,62675,62245,62620,79037,27688
2017.01.04,13:00:00,62615,62690,62340,62355,45498,16285
2017.01.04,13:30:00,62355,62410,62170,62310,45147,15943
2017.01.04,14:00:00,62315,62335,62170,62315,38535,13863
2017.01.04,14:30:00,62315,62445,62295,62390,36168,12575
2017.01.04,15:00:00,62390,62485,62270,62305,33696,11912
2017.01.04,15:30:00,62305,62400,62250,62395,25538,9303
2017.01.04,16:00:00,62395,62420,62250,62390,26365,8924
2017.01.04,16:30:00,62390,62545,62350,62370,33561,11555
2017.01.04,17:00:00,62370,62590,62335,62465,42282,13168
2017.01.04,17:30:00,62475,62540,62340,62375,22855,6740
2017.01.04,18:00:00,62375,62520,62365,62520,6606,1367
2017.01.05,09:00:00,62485,62735,62435,62650,42379,13989
2017.01.05,09:30:00,62650,62780,62645,62750,34382,10961
